priority_tier,priority_score,product_id,product_slug_label,product_name,brand,category,protein_g,current_url,new_proteinlab_url,affiliate_link_id,channel_id,status,priority_reason,recommended_action,notes
P2,63,bsn-protein-crisp-peanut-butter-crunch,Bsn Protein Crisp Peanut Butter Crunch,프로틴 크리스프 단백질바 (피넛 버터 크런치),비에스엔,bar,20,https://link.coupang.com/a/fg1Ugh9grc,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,bsn-protein-crisp-salted-toffee-pretzel,Bsn Protein Crisp Salted Toffee Pretzel,프로틴 크리스프 단백질바 (솔티드 토피 프레첼),비에스엔,bar,20,https://link.coupang.com/a/fg1UR5U9rU,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,dryou-proteinbar-pro-3nuts-crunch,Dryou Proteinbar Pro 3nuts Crunch,프로 단백질바 (3넛츠 크런치),닥터유,bar,25,https://link.coupang.com/a/fg1IDrJsAu,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,dryou-proteinbar-pro-choco-classic,Dryou Proteinbar Pro Choco Classic,프로 단백질바 (초코 클래식),닥터유,bar,24,https://link.coupang.com/a/fg1JsDzqWy,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,dryou-proteinbar-pro-crunch,Dryou Proteinbar Pro Crunch,프로 단백질바 (크런치),닥터유,bar,24,https://link.coupang.com/a/fg1Kf9RGzA,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,kirkland-proteinbar-choco-brownie,Kirkland Proteinbar Choco Brownie,프로틴바 초콜릿 브라우니,커클랜드,bar,21,https://link.coupang.com/a/fg1Lfdn0z6,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,kirkland-proteinbar-choco-chip-cookie-dough-60,Kirkland Proteinbar Choco Chip Cookie Dough 60,프로틴바 초코칩 쿠키도우,커클랜드,bar,21,https://link.coupang.com/a/fg1LOeuvnM,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,lottewellfood-easyprotein-highprotein-crispy,Lottewellfood Easyprotein Highprotein Crispy,이지프로틴 고단백질바 (크리스피),롯데웰푸드,bar,20,https://link.coupang.com/a/fg2Dx7tij6,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-blueberry-muffin-60,Quest Nutrition Protein Bar Blueberry Muffin 60,단백질바 (블루베리 머핀),퀘스트 뉴트리션,bar,21,https://link.coupang.com/a/fg10AtFbJk,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-chocolate-chip-cookie-dough-60,Quest Nutrition Protein Bar Chocolate Chip Cookie Dough 60,단백질바 (초코칩 쿠키도우),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg1Z1J4xRQ,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-chocolate-peanutbutter-60,Quest Nutrition Protein Bar Chocolate Peanutbutter 60,단백질바 (초콜릿 피넛버터),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg1WbRVWFM,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-cookie-cream-60,Quest Nutrition Protein Bar Cookie Cream 60,단백질바 (쿠키 앤 크림),퀘스트 뉴트리션,bar,21,https://link.coupang.com/a/fg1ZqHiJsi,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-deep-chocolate-chip-cookie-dough-60,Quest Nutrition Protein Bar Deep Chocolate Chip Cookie Dough 60,단백질바 (딥 초콜릿칩 쿠키도우),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg1XtIkg8W,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-deep-dish-cookie-cream-60,Quest Nutrition Protein Bar Deep Dish Cookie Cream 60,단백질바 (딥디쉬 쿠키 앤 크림),퀘스트 뉴트리션,bar,21,https://link.coupang.com/a/fg11Ouyxsi,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-double-chocolate-chunk-60,Quest Nutrition Protein Bar Double Chocolate Chunk 60,단백질바 (더블 초콜릿 청크),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg1Vxxl8RU,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
