 No,slug,productName,coupangUrl,naverUrl,officialUrl
71,seoulmilk-protein-energy-coffee-240,프로틴 에너지 (커피),,https://search.shopping.naver.com/search/all?query=%EC%84%9C%EC%9A%B8%EC%9A%B0%EC%9C%A0%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%97%90%EB%84%88%EC%A7%80%20(%EC%BB%A4%ED%94%BC)&prevQuery=%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%97%90%EB%84%88%EC%A7%80%20(%EC%BB%A4%ED%94%BC)&vertical=search,https://brand.naver.com/seoulmilk/category/e086f24d6e724ea88028fd47264c1936?cp=1
79,seoulmilk-protein-energy-choco-240,프로틴 에너지 (초콜릿),https://www.coupang.com/vp/products/8590463503?itemId=24291974561&vendorItemId=91307098730,https://search.shopping.naver.com/search/all?query=%EC%84%9C%EC%9A%B8%EC%9A%B0%EC%9C%A0%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%97%90%EB%84%88%EC%A7%80%20(%EC%B4%88%EC%BD%94)&prevQuery=%EC%84%9C%EC%9A%B8%EC%9A%B0%EC%9C%A0%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%97%90%EB%84%88%EC%A7%80%20(%EC%BB%A4%ED%94%BC)&vertical=search,https://brand.naver.com/seoulmilk/category/e086f24d6e724ea88028fd47264c1936?cp=1
98,sellex-protein-original-190,프로틴 (오리지널),https://www.coupang.com/vp/products/9334640009?itemId=19428960882&searchId=d01c4db5db21418b8893087c44b71916&sourceType=brandstore_sdp_atf_topbadge-best_products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-best_products&vendorId=A00575434&vendorItemId=82914630148,https://search.shopping.naver.com/search/all?query=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90)&prevQuery=%EC%84%9C%EC%9A%B8%EC%9A%B0%EC%9C%A0%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%97%90%EB%84%88%EC%A7%80%20(%EC%B4%88%EC%BD%94)&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
61,sellex-protein-lowsugar-190,프로틴 (로우슈거),https://www.coupang.com/vp/products/7839893765?itemId=21339632780&searchId=eb82f2ffc7cf4fa5a34b809fd0cb372f&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A00575434&vendorItemId=84288230465,https://search.shopping.naver.com/search/all?query=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EB%A1%9C%EC%9A%B0%EC%8A%88%EA%B1%B0)&prevQuery=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90)&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
60,sellex-protein-lactosefree-original-190,프로틴 락토프리 (오리지널),https://www.coupang.com/vp/products/8725170517?itemId=25384290090&searchId=eb82f2ffc7cf4fa5a34b809fd0cb372f&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A00575434&vendorItemId=92940432253,https://search.shopping.naver.com/search/all?query=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EB%9D%BD%ED%86%A0%ED%94%84%EB%A6%AC%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90&prevQuery=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EB%9D%BD%ED%86%A0%ED%94%84%EB%A6%AC&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
25,sellex-profit-whey-protein-americano-330,프로틴 웨이프로핏 (아메리카노),,https://search.shopping.naver.com/search/all?query=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EC%9B%A8%EC%9D%B4%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8%20%EB%93%9C%EB%A7%81%ED%81%AC%2C%20330ml%2C%2012%EA%B0%9C&prevQuery=%EC%85%80%EB%A0%89%EC%8A%A4%20%EC%9B%A8%EC%9D%B4%ED%94%84%EB%A1%9C%ED%95%8F%20%EB%93%9C%EB%A7%81%ED%81%AC%20%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
26,sellex-profit-strawberry-choco-250,프로핏 (딸기초코),,https://search.shopping.naver.com/search/all?query=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%94%B8%EA%B8%B0%EC%B4%88%EC%BD%94)&prevQuery=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EC%9B%A8%EC%9D%B4%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8%20%EB%93%9C%EB%A7%81%ED%81%AC%2C%20330ml%2C%2012%EA%B0%9C&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
7,sellex-profit-mocha-chocolate-250,프로핏 (모카 초콜릿),https://www.coupang.com/vp/products/7553257510?itemId=19883077375&searchId=786877fd77d1411392ae76a2abd7a027&sourceType=brandstore_sdp_atf_topbadge-products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-products&vendorId=A00575434&vendorItemId=86983543096,https://search.shopping.naver.com/search/all?query=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%AA%A8%EC%B9%B4%20%EC%B4%88%EC%BD%9C%EB%A6%BF)&prevQuery=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EC%9B%A8%EC%9D%B4%ED%94%84%EB%A1%9C%ED%8B%B4%20%EB%B3%B5%EC%88%AD%EC%95%84%20%EC%95%84%EC%9D%B4%EC%8A%A4%ED%8B%B0&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
6,sellex-profit-milk-vanilla-250,프로핏 (밀크 바닐라),https://www.coupang.com/vp/products/8415619462?itemId=25281895756&searchId=786877fd77d1411392ae76a2abd7a027&sourceType=brandstore_sdp_atf_topbadge-products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-products&vendorId=A00575434&vendorItemId=86983543109,https://search.shopping.naver.com/search/all?query=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%B0%80%ED%81%AC%20%EB%B0%94%EB%8B%90%EB%9D%BC)&prevQuery=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%AA%A8%EC%B9%B4%20%EC%B4%88%EC%BD%9C%EB%A6%BF)&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
8,sellex-profit-banana-250,프로핏 (바나나),https://www.coupang.com/vp/products/8397547499?itemId=27535194707&vendorItemId=94499748277&q=%EC%85%80%EB%A0%89%EC%8A%A4+%ED%94%84%EB%A1%9C%ED%95%8F+%28%EB%B0%94%EB%82%98%EB%82%98%29&searchId=7f2d1d6d7659167&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyb2k0y,https://search.shopping.naver.com/search/all?query=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EB%B0%94%EB%82%98%EB%82%98%20%EC%A0%9C%EB%A1%9C%EC%8A%88%EA%B0%80%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%9D%8C%EB%A3%8C&prevQuery=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EB%B0%94%EB%82%98%EB%82%98%20%EC%A0%9C%EB%A1%9C%EC%8A%88%EA%B0%80%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%9D%8C%EB%A3%8C%20250ml%20x%209%EA%B0%9C&vertical=search,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1
